Series,Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,KolmogorovSmirnov,Hurst,GPH,ADF,GARCH,Hill,Objective,RunTime
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,0.01,3600000,-1.617131459607173e-6,0.004749344753082686,545.9595188229841,0.46551733686384,0.5501621228672687,1.0018744688694334,-68.40300663488232,1.0628523781287997,0.3615964992707167,207887.26581458328,38.00231599807739
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,0.2575,3600000,3.799665648266438e-5,0.0031072589343679436,880.7382345832574,0.48078615788023443,0.4705232093582574,0.573340502685,-62.491430558670615,1.1002857972709685,-0.06372829414941071,152739.01775123744,37.174521923065186
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,0.2575,3600000,3.741442347852149e-5,0.013174371169206708,760.9689326046883,0.466537425830924,0.48099660204027256,0.46834292756762635,-64.53233177742649,0.9500000059721998,0.19606966241633103,2.0493665201538925e6,37.1745719909668
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,0.505,3600000,-0.00012564010184246902,0.035690135676314245,1007.3124319489888,0.4911437332299149,0.5058767660668667,0.8726554215596491,-66.59987721429933,0.976454439595305,0.2530014771623455,1.690789643008462e7,39.12092995643616
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,0.505,3600000,-0.0001285922431813576,0.04303265354818423,857.7800243348689,0.4635641693609253,0.42236054255077776,0.6485758781365025,-66.6942309973299,1.0030209547486446,0.3580865098873795,2.3697421248117454e7,39.1209819316864
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,0.7525,3600000,8.813478876545953e-5,0.001663657331685182,605.9313283618055,0.4920264571149451,0.687498752942127,0.339380424278878,-65.66038564494521,0.964707467855491,-0.08738788592372064,233648.1605283378,38.75305509567261
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,0.7525,3600000,8.660135995531872e-5,0.002719068597867626,455.33021232953195,0.48277465801298897,0.6221655786873961,0.4268179943145055,-75.46034906018215,0.9500001444911357,0.32804832117554794,246718.3804568097,38.75310707092285
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,1.0,3600000,,,,,,,,,,,
MicroPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.7,10000.0,1.0,3600000,,,,,,,,,,,
MidPrice,1,1,10,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.4,10000.0,0.01,3600000,-3.5397481912876e-6,0.00011771883519659775,1122.2336884004737,0.48533593799234587,0.6811501938272401,0.23666028232922004,-119.65582466925551,1.0885569003304525,1.9690438350357338,756.1241894599273,37.32594084739685
