Side,Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,Hurst,GPH,ADF,GARCH,Hill
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,1.0,7200000,-0.00011086459421647481,0.0031428393828928777,1005.0881906584867,0.5987224392195178,0.1785712767969302,-59.66196404130819,0.9891015081510335,0.8290348764876695
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,2.525,10000.0,1.0,7200000,2.4566434718882406e-7,4.0910247308841665e-5,580.0101224288878,0.48087789041799617,0.10121180288896699,-71.24349192652656,0.9352082606286335,1.0136980739601007
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.1,7200000,-1.979532182693806e-6,0.01470223964055607,2144.3202246343076,0.5010896180998062,0.20995750765341342,-59.539258394951716,0.9736278824985785,0.6545351193884104
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.1,7200000,-2.5829392339851826e-7,1.82570279486259e-5,1051.7013849199352,0.5165818612528612,0.04979708232227246,-56.40106874503801,0.9876563391794323,1.1243132236674676
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.325,7200000,-1.979532182693806e-6,0.01470223964055607,2144.3202246343076,0.5010896180998062,0.20995750765341342,-59.539258394951716,0.9736278824985785,0.6545351193884104
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.325,7200000,-2.5829392339851826e-7,1.82570279486259e-5,1051.7013849199352,0.5165818612528612,0.04979708232227246,-56.40106874503801,0.9876563391794323,1.1243132236674676
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.55,7200000,-9.507773501640118e-5,0.0033084480723681586,816.1624728691257,0.613058527723042,0.1945342859576831,-59.67007103588652,1.0623528126372068,0.7039232536897689
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.55,7200000,-3.6402068141442377e-7,2.539305515430421e-5,1052.1923788756083,0.5188859988277807,0.06719829850137589,-56.414476869226654,0.9876748960407427,1.1245692798965108
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.775,7200000,-9.507773501640118e-5,0.0033084480723681586,816.1624728691257,0.613058527723042,0.1945342859576831,-59.67007103588652,1.0623528126372068,0.7039232536897689
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,0.775,7200000,-3.6402068141442377e-7,2.539305515430421e-5,1052.1923788756083,0.5188859988277807,0.06719829850137589,-56.414476869226654,0.9876748960407427,1.1245692798965108
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,1.0,7200000,-9.507773501640118e-5,0.0033084480723681586,816.1624728691257,0.613058527723042,0.1945342859576831,-59.67007103588652,1.0623528126372068,0.7039232536897689
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.0,3.0,10000.0,1.0,7200000,-3.6402068141442377e-7,2.539305515430421e-5,1052.1923788756083,0.5188859988277807,0.06719829850137589,-56.414476869226654,0.9876748960407427,1.1245692798965108
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.1,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.1,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.325,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.325,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.55,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.55,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.775,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,0.775,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,1.0,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.1,10000.0,1.0,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.1,7200000,7.846207595616953e-5,0.02259323719565197,184.97675623891539,0.36763977973091555,0.31410162458365026,-61.10824808833289,0.9516616007638492,-0.015135065042828348
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.1,7200000,-5.127585891503102e-7,4.236938666300995e-5,553.6600034902323,0.514117825529607,0.05550950634228595,-74.06413718190751,0.962847405054147,0.9014858269045873
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.325,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.325,7200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.55,7200000,-2.2210193627482912e-5,0.009450073206469317,251.7922959717196,0.5634963704000772,0.9006227175412543,-68.12166527292571,0.9532968133500045,0.34140565146473495
2,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.55,7200000,1.6032866589153775e-8,3.278599350907879e-5,291.9738803821789,0.41638508074090025,0.12973191881705814,-68.58409322704262,0.9223150530021995,1.0182434503058837
1,1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.775,7200000,-0.0002334626404781244,0.01938332792713943,448.56927325382514,0.44890102271107846,0.36071706538310366,-60.9222548559481,0.9929529367155489,0.3174084074417631
