Nt,Nv,Nh,Lambdal,Lambdah,LambdalMin,LambdalMax,LambdahMin,LambdahMax,Delta,Kappa,Nu,M0,Sigma,T,Mean,StandardDeviation,Kurtosis,Hurst,GPH,ADF,GARCH,Hill
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.325,3600000,4.9652054398283124e-5,0.0019599134080445536,456.7063290790874,0.5873766474185674,0.611228249985341,-51.97143275269478,0.9500000039137836,0.09806896759941165
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.55,3600000,4.9652054398283124e-5,0.0019599134080445536,456.7063290790874,0.5873766474185674,0.611228249985341,-51.97143275269478,0.9500000039137836,0.09806896759941165
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,0.775,3600000,4.9652054398283124e-5,0.0019599134080445536,456.7063290790874,0.5873766474185674,0.611228249985341,-51.97143275269478,0.9500000039137836,0.09806896759941165
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,1.575,10000.0,1.0,3600000,4.9652054398283124e-5,0.0019599134080445536,456.7063290790874,0.5873766474185674,0.611228249985341,-51.97143275269478,0.9500000039137836,0.09806896759941165
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.1,3600000,4.519686154332216e-5,0.002298635626239413,1053.0943838908051,0.5803553273051665,0.35859571265400403,-39.61061628979858,0.9362800759247794,0.2375732437107396
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.325,3600000,4.519686154332216e-5,0.002298635626239413,1053.0943838908051,0.5803553273051665,0.35859571265400403,-39.61061628979858,0.9362800759247794,0.2375732437107396
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.55,3600000,4.519686154332216e-5,0.002298635626239413,1053.0943838908051,0.5803553273051665,0.35859571265400403,-39.61061628979858,0.9362800759247794,0.2375732437107396
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,0.775,3600000,4.519686154332216e-5,0.002298635626239413,1053.0943838908051,0.5803553273051665,0.35859571265400403,-39.61061628979858,0.9362800759247794,0.2375732437107396
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.05,10000.0,1.0,3600000,4.519686154332216e-5,0.002298635626239413,1053.0943838908051,0.5803553273051665,0.35859571265400403,-39.61061628979858,0.9362800759247794,0.2375732437107396
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.1,3600000,4.426079048221054e-5,0.0023256449944669515,1016.9676324952112,0.5757811432304933,0.3533662941585364,-39.88153970453633,0.9308973521553288,0.1705415409897778
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.325,3600000,4.426079048221054e-5,0.0023256449944669515,1016.9676324952112,0.5757811432304933,0.3533662941585364,-39.88153970453633,0.9308973521553288,0.1705415409897778
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.55,3600000,4.426079048221054e-5,0.0023256449944669515,1016.9676324952112,0.5757811432304933,0.3533662941585364,-39.88153970453633,0.9308973521553288,0.1705415409897778
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,0.775,3600000,4.426079048221054e-5,0.0023256449944669515,1016.9676324952112,0.5757811432304933,0.3533662941585364,-39.88153970453633,0.9308973521553288,0.1705415409897778
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,2.525,10000.0,1.0,3600000,4.426079048221054e-5,0.0023256449944669515,1016.9676324952112,0.5757811432304933,0.3533662941585364,-39.88153970453633,0.9308973521553288,0.1705415409897778
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.1,3600000,4.121510027538666e-5,0.0023339583913145313,1007.7341506715941,0.5726196642414043,0.3447136094070156,-39.9685626631643,1.008112218557722,0.18316004516845807
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.325,3600000,4.121510027538666e-5,0.0023339583913145313,1007.7341506715941,0.5726196642414043,0.3447136094070156,-39.9685626631643,1.008112218557722,0.18316004516845807
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.55,3600000,4.121510027538666e-5,0.0023339583913145313,1007.7341506715941,0.5726196642414043,0.3447136094070156,-39.9685626631643,1.008112218557722,0.18316004516845807
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,0.775,3600000,4.121510027538666e-5,0.0023339583913145313,1007.7341506715941,0.5726196642414043,0.3447136094070156,-39.9685626631643,1.008112218557722,0.18316004516845807
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,1.5,3.0,10000.0,1.0,3600000,4.121510027538666e-5,0.0023339583913145313,1007.7341506715941,0.5726196642414043,0.3447136094070156,-39.9685626631643,1.008112218557722,0.18316004516845807
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.1,3600000,-2.458376121845035e-5,0.005901074161981092,305.7069167219195,0.39109260270266666,0.6688869104637222,-53.89314964830611,0.9546570366109739,-0.06798342555003571
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.325,3600000,-2.7729597975564557e-5,0.006052282826711043,299.6774422201941,0.39203396120279804,0.6649696514474097,-53.4435447644491,0.8950870413258736,-0.06788641331119602
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.55,3600000,-2.7729597975564557e-5,0.006052282826711043,299.6774422201941,0.39203396120279804,0.6649696514474097,-53.4435447644491,0.8950870413258736,-0.06788641331119602
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,0.775,3600000,2.4079291205548307e-5,0.010771011745427607,126.11967482222633,0.5700941385884666,0.3995342149181159,-62.8051277575596,1.0584428336888858,-0.03848679651861023
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.1,10000.0,1.0,3600000,0.00012664937224793484,0.04939223802819279,881.6382268353486,0.5266269166603388,0.5228160972295236,-59.476351903083135,0.985114033191963,0.3844113132855003
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.575,10000.0,0.1,3600000,7.635424027067005e-5,0.006320096351550844,787.0447770374029,0.534164610754752,0.33238052090314524,-56.25472293463275,0.9635622200510172,0.04313217075401888
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.575,10000.0,0.325,3600000,2.5625758834938407e-5,0.00119174695443489,476.67427761272796,0.6106925026179012,0.4591930019909115,-53.584050418462866,0.9866016439899233,0.025106174300699585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.575,10000.0,0.55,3600000,2.5625758834938407e-5,0.00119174695443489,476.67427761272796,0.6106925026179012,0.4591930019909115,-53.584050418462866,0.9866016439899233,0.025106174300699585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.575,10000.0,0.775,3600000,2.5625758834938407e-5,0.00119174695443489,476.67427761272796,0.6106925026179012,0.4591930019909115,-53.584050418462866,0.9866016439899233,0.025106174300699585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,1.575,10000.0,1.0,3600000,2.5625758834938407e-5,0.00119174695443489,476.67427761272796,0.6106925026179012,0.4591930019909115,-53.584050418462866,0.9866016439899233,0.025106174300699585
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.05,10000.0,0.1,3600000,-6.509978588139557e-6,0.003907048014463325,207.38191481196338,0.4547847560086004,0.6934405432832976,-57.78856098655001,1.0008837123413097,0.025955977179145863
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.05,10000.0,0.325,3600000,1.1488852271100972e-5,0.007454438256851621,197.63824868787557,0.5098575052634116,0.4971319599240229,-59.62243418321689,1.037603770217072,-0.05907705686895745
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.05,10000.0,0.55,3600000,-0.0002518894703782525,0.010667825341435294,329.9773729456163,0.5786606251667789,0.39916169424646475,-49.940397444788736,0.9998676417656399,0.09123807072355095
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.05,10000.0,0.775,3600000,-0.0002518894703782525,0.010667825341435294,329.9773729456163,0.5786606251667789,0.39916169424646475,-49.940397444788736,0.9998676417656399,0.09123807072355095
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.05,10000.0,1.0,3600000,-0.0002518894703782525,0.010667825341435294,329.9773729456163,0.5786606251667789,0.39916169424646475,-49.940397444788736,0.9998676417656399,0.09123807072355095
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.525,10000.0,0.1,3600000,-3.2034274142627305e-5,0.004731442865355745,245.77495702810103,0.5455003790867913,0.7375666005328106,-57.80008905038196,1.0086852185170105,-0.013588949689911544
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.525,10000.0,0.325,3600000,-5.50918387028726e-5,0.0030919451582017694,249.06451339271152,0.599518358372012,0.7799669340042412,-55.427148780874354,0.9950028615762655,0.04829618629443949
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.525,10000.0,0.55,3600000,9.081010232776825e-5,0.009617457232041871,322.6050486999442,0.5175083256298816,0.7372109145158725,-60.60293378925015,0.9998805384239995,-0.016474432451837922
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.525,10000.0,0.775,3600000,-0.0001970444483320524,0.019324833040671625,202.18355656671744,0.579729765739744,0.7009609809532389,-59.55223691835868,1.0755774094361115,-0.058619746263076054
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,2.525,10000.0,1.0,3600000,-0.0001225745551527785,0.0117638163608013,126.7454568891331,0.5180693752469568,0.22781572166324618,-56.526960733258115,1.0078585996230311,0.37882591232898266
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.0,10000.0,0.1,3600000,-2.2327857473185038e-5,0.004777841811594232,385.3035468993295,0.5523849011975578,0.6947754944526678,-56.14480235101858,1.1338939875660985,0.040909367115167176
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.0,10000.0,0.325,3600000,-0.00020836614959035294,0.016622405955085247,144.80206897898688,0.4796390678637137,0.5241683449961466,-58.65573924859074,1.0553744655340525,-0.11407694271008045
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.0,10000.0,0.55,3600000,-0.00020836614959035294,0.016622405955085247,144.80206897898688,0.4796390678637137,0.5241683449961466,-58.65573924859074,1.0553744655340525,-0.11407694271008045
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.0,10000.0,0.775,3600000,-3.9954289576805816e-5,0.010044329649000143,265.5077643782796,0.5225246046342567,0.7485809676210038,-55.62629953276599,1.0779581752059642,-0.04724261308097263
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.0,3.0,10000.0,1.0,3600000,-9.262816396469335e-5,0.013608327425265875,106.8979451872388,0.5220676945113746,0.45891572360130906,-53.55620216966019,0.9884026500374479,0.49486618518326264
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.1,10000.0,0.1,3600000,-3.1842836758439975e-6,0.0012435677523167648,589.8684881047948,0.5960157053320423,0.5764103955598069,-55.38846351749714,0.9726320780121488,0.21336985890177104
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.1,10000.0,0.325,3600000,1.9361362727068e-5,0.0024405492134859036,369.4421507909266,0.6016946458339614,0.7285407325918117,-54.092799682012014,0.9499999999988323,0.1175226116032024
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.1,10000.0,0.55,3600000,1.9361362727068e-5,0.0024405492134859036,369.4421507909266,0.6016946458339614,0.7285407325918117,-54.092799682012014,0.9499999999988323,0.1175226116032024
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.1,10000.0,0.775,3600000,1.9361362727068e-5,0.0024405492134859036,369.4421507909266,0.6016946458339614,0.7285407325918117,-54.092799682012014,0.9499999999988323,0.1175226116032024
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.1,10000.0,1.0,3600000,1.9361362727068e-5,0.0024405492134859036,369.4421507909266,0.6016946458339614,0.7285407325918117,-54.092799682012014,0.9499999999988323,0.1175226116032024
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.575,10000.0,0.1,3600000,0.00013485198351822792,0.015185484615337592,125.85495976918551,0.5360682243498618,0.38707132979482345,-57.36367640057355,0.9698314528863594,0.5387290225122333
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.575,10000.0,0.325,3600000,-5.622007223191456e-5,0.00506163892709661,188.19706760904006,0.40131175073042313,0.3019350792998222,-49.118682994200256,1.0300967935688539,-0.050198853720985
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.575,10000.0,0.55,3600000,-5.026396069596042e-5,0.008770232603869397,111.15734138275127,0.5783187894738037,0.321697252589893,-56.571538583937354,0.991251673283028,0.4841567954403182
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.575,10000.0,0.775,3600000,-4.905427034038624e-5,0.01084385497697351,75.54438273997917,0.5705108762173723,0.46117757345016025,-55.71200450376055,0.9873853465609693,0.42570460473527505
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,1.575,10000.0,1.0,3600000,-9.683771105433807e-5,0.009659564754018673,88.03226577060974,0.604565127593557,0.3137378808307898,-56.42607203386269,1.018068660996814,0.3170239104618182
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.05,10000.0,0.1,3600000,0.00012395981456117663,0.006981164159761912,235.15880716795846,0.5709416286736878,0.3130227894074581,-59.82368014906668,0.9500002177299586,-0.039995335910109606
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.05,10000.0,0.325,3600000,6.517363320459165e-5,0.011459773690710686,140.67231313951956,0.5141843520148721,0.46697792431553437,-54.51588419493243,1.0260574940825848,0.7070399580663957
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.05,10000.0,0.55,3600000,2.1795070512467017e-5,0.004382642006213048,103.25779887262344,0.4725594227582699,0.3338237310279838,-57.10813131827997,0.9880357892656321,-0.13909888187202213
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.05,10000.0,0.775,3600000,2.1795070512467017e-5,0.004382642006213048,103.25779887262344,0.4725594227582699,0.3338237310279838,-57.10813131827997,0.9880357892656321,-0.13909888187202213
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.05,10000.0,1.0,3600000,2.1795070512467017e-5,0.004382642006213048,103.25779887262344,0.4725594227582699,0.3338237310279838,-57.10813131827997,0.9880357892656321,-0.13909888187202213
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.525,10000.0,0.1,3600000,-5.440492465596772e-5,0.006454964253707802,233.55477216948617,0.6138369843159968,0.265371894857872,-55.58772972243051,0.9369602197354987,-0.05310247450818659
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.525,10000.0,0.325,3600000,2.1148628788274055e-7,0.0012260295256375296,300.860605201091,0.45922496441559085,0.41211659112284277,-49.97083180902308,0.9500000000683287,0.052422986077254895
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.525,10000.0,0.55,3600000,2.1148628788274055e-7,0.0012260295256375296,300.860605201091,0.45922496441559085,0.41211659112284277,-49.97083180902308,0.9500000000683287,0.052422986077254895
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.525,10000.0,0.775,3600000,2.1148628788274055e-7,0.0012260295256375296,300.860605201091,0.45922496441559085,0.41211659112284277,-49.97083180902308,0.9500000000683287,0.052422986077254895
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,2.525,10000.0,1.0,3600000,2.1148628788274055e-7,0.0012260295256375296,300.860605201091,0.45922496441559085,0.41211659112284277,-49.97083180902308,0.9500000000683287,0.052422986077254895
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,3.0,10000.0,0.1,3600000,-1.060952605768381e-5,0.0096829980512331,100.93117389476627,0.5194044951647364,0.39565583573354185,-55.62508262451149,0.9499999999007576,0.7043665445187692
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,3.0,10000.0,0.325,3600000,8.189807855704135e-6,0.001192492265727349,331.5315389744646,0.479797450221034,0.45323568480657334,-50.99980308374113,0.9177235470329603,-0.027823526350727667
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,3.0,10000.0,0.55,3600000,8.189807855704135e-6,0.001192492265727349,331.5315389744646,0.479797450221034,0.45323568480657334,-50.99980308374113,0.9177235470329603,-0.027823526350727667
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,3.0,10000.0,0.775,3600000,8.189807855704135e-6,0.001192492265727349,331.5315389744646,0.479797450221034,0.45323568480657334,-50.99980308374113,0.9177235470329603,-0.027823526350727667
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,2.5,3.0,10000.0,1.0,3600000,8.189807855704135e-6,0.001192492265727349,331.5315389744646,0.479797450221034,0.45323568480657334,-50.99980308374113,0.9177235470329603,-0.027823526350727667
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,3.0,1.1,10000.0,0.1,3600000,1.623310262672656e-6,0.0014657541919702473,515.8400584424929,0.5235103124197359,0.7036012000234435,-58.05299508231134,0.9499999999998994,0.13722597657651603
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,3.0,1.1,10000.0,0.325,3600000,1.623310262672656e-6,0.0014657541919702473,515.8400584424929,0.5235103124197359,0.7036012000234435,-58.05299508231134,0.9499999999998994,0.13722597657651603
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,3.0,1.1,10000.0,0.55,3600000,1.623310262672656e-6,0.0014657541919702473,515.8400584424929,0.5235103124197359,0.7036012000234435,-58.05299508231134,0.9499999999998994,0.13722597657651603
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,3.0,1.1,10000.0,0.775,3600000,1.623310262672656e-6,0.0014657541919702473,515.8400584424929,0.5235103124197359,0.7036012000234435,-58.05299508231134,0.9499999999998994,0.13722597657651603
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,3.0,1.1,10000.0,1.0,3600000,1.623310262672656e-6,0.0014657541919702473,515.8400584424929,0.5235103124197359,0.7036012000234435,-58.05299508231134,0.9499999999998994,0.13722597657651603
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,3.0,1.575,10000.0,0.1,3600000,-4.755917564347506e-5,0.003880961874251924,168.0934673006118,0.5146300578064719,0.4337224378161136,-48.67374447516211,1.028324337115469,-0.036280396088843106
1,1,8,20.0,15.0,5.0,40.0,5.0,40.0,0.01,3.0,1.575,10000.0,0.325,3600000,1.1813256574013267e-5,0.0060471606205735485,268.2616150436339,0.48509132765364116,0.5023910171206418,-59.377811877156304,0.9498243561026353,0.018020733226904347
